Gate_records in the linked list:
GateName: DATA_0_31 , GateType: 0, Level: 0, Output: false, Number: 0, Fanout: DATA_0_31, Fanin: None 
GateName: DATA_0_7 , GateType: 0, Level: 0, Output: false, Number: 24, Fanout: DATA_0_7, Fanin: None 
GateName: DATA_0_6 , GateType: 0, Level: 0, Output: false, Number: 25, Fanout: DATA_0_6, Fanin: None 
GateName: DATA_0_5 , GateType: 0, Level: 0, Output: false, Number: 26, Fanout: DATA_0_5, Fanin: None 
GateName: DATA_0_4 , GateType: 0, Level: 0, Output: false, Number: 27, Fanout: DATA_0_4, Fanin: None 
GateName: DATA_0_3 , GateType: 0, Level: 0, Output: false, Number: 28, Fanout: DATA_0_3, Fanin: None 
GateName: DATA_0_2 , GateType: 0, Level: 0, Output: false, Number: 29, Fanout: DATA_0_2, Fanin: None 
GateName: DATA_0_1 , GateType: 0, Level: 0, Output: false, Number: 30, Fanout: DATA_0_1, Fanin: None 
GateName: DATA_0_0 , GateType: 0, Level: 0, Output: false, Number: 31, Fanout: DATA_0_0, Fanin: None 
GateName: RESET , GateType: 0, Level: 0, Output: false, Number: 32, Fanout: RESET, Fanin: None 
GateName: TM1 , GateType: 0, Level: 0, Output: false, Number: 33, Fanout: TM1, Fanin: None 
GateName: TM0 , GateType: 0, Level: 0, Output: false, Number: 34, Fanout: TM0, Fanin: None 
GateName: CRC_OUT_9_0 , GateType: 1, Level: 0, Output: true, Number: 35, Fanout: CRC_OUT_9_0, Fanin: WX1264 
GateName: CRC_OUT_9_1 , GateType: 1, Level: 0, Output: true, Number: 36, Fanout: CRC_OUT_9_1, Fanin: WX1266 
GateName: CRC_OUT_9_2 , GateType: 1, Level: 0, Output: true, Number: 37, Fanout: CRC_OUT_9_2, Fanin: WX1268 
GateName: CRC_OUT_9_3 , GateType: 1, Level: 0, Output: true, Number: 38, Fanout: CRC_OUT_9_3, Fanin: WX1270 
GateName: CRC_OUT_9_4 , GateType: 1, Level: 0, Output: true, Number: 39, Fanout: CRC_OUT_9_4, Fanin: WX1272 
GateName: CRC_OUT_9_5 , GateType: 1, Level: 0, Output: true, Number: 40, Fanout: CRC_OUT_9_5, Fanin: WX1274 
GateName: CRC_OUT_9_6 , GateType: 1, Level: 0, Output: true, Number: 41, Fanout: CRC_OUT_9_6, Fanin: WX1276 
GateName: CRC_OUT_9_7 , GateType: 1, Level: 0, Output: true, Number: 42, Fanout: CRC_OUT_9_7, Fanin: WX1278 
GateName: CRC_OUT_9_8 , GateType: 1, Level: 0, Output: true, Number: 43, Fanout: CRC_OUT_9_8, Fanin: WX1280 
GateName: CRC_OUT_9_9 , GateType: 1, Level: 0, Output: true, Number: 44, Fanout: CRC_OUT_9_9, Fanin: WX1282 
GateName: CRC_OUT_9_10 , GateType: 1, Level: 0, Output: true, Number: 45, Fanout: CRC_OUT_9_10, Fanin: WX1284 
GateName: CRC_OUT_9_11 , GateType: 1, Level: 0, Output: true, Number: 46, Fanout: CRC_OUT_9_11, Fanin: WX1286 
GateName: CRC_OUT_9_12 , GateType: 1, Level: 0, Output: true, Number: 47, Fanout: CRC_OUT_9_12, Fanin: WX1288 
GateName: CRC_OUT_9_13 , GateType: 1, Level: 0, Output: true, Number: 48, Fanout: CRC_OUT_9_13, Fanin: WX1290 
GateName: CRC_OUT_9_14 , GateType: 1, Level: 0, Output: true, Number: 49, Fanout: CRC_OUT_9_14, Fanin: WX1292 
GateName: CRC_OUT_9_15 , GateType: 1, Level: 0, Output: true, Number: 50, Fanout: CRC_OUT_9_15, Fanin: WX1294 
GateName: CRC_OUT_9_16 , GateType: 1, Level: 0, Output: true, Number: 51, Fanout: CRC_OUT_9_16, Fanin: WX1296 
GateName: CRC_OUT_9_17 , GateType: 1, Level: 0, Output: true, Number: 52, Fanout: CRC_OUT_9_17, Fanin: WX1298 
GateName: CRC_OUT_9_18 , GateType: 1, Level: 0, Output: true, Number: 53, Fanout: CRC_OUT_9_18, Fanin: WX1300 
GateName: CRC_OUT_9_19 , GateType: 1, Level: 0, Output: true, Number: 54, Fanout: CRC_OUT_9_19, Fanin: WX1302 
GateName: CRC_OUT_9_20 , GateType: 1, Level: 0, Output: true, Number: 55, Fanout: CRC_OUT_9_20, Fanin: WX1304 
GateName: CRC_OUT_9_21 , GateType: 1, Level: 0, Output: true, Number: 56, Fanout: CRC_OUT_9_21, Fanin: WX1306 
GateName: CRC_OUT_9_22 , GateType: 1, Level: 0, Output: true, Number: 57, Fanout: CRC_OUT_9_22, Fanin: WX1308 
GateName: CRC_OUT_9_23 , GateType: 1, Level: 0, Output: true, Number: 58, Fanout: CRC_OUT_9_23, Fanin: WX1310 
GateName: CRC_OUT_9_24 , GateType: 1, Level: 0, Output: true, Number: 59, Fanout: CRC_OUT_9_24, Fanin: WX1312 
GateName: CRC_OUT_9_25 , GateType: 1, Level: 0, Output: true, Number: 60, Fanout: CRC_OUT_9_25, Fanin: WX1314 
GateName: CRC_OUT_9_26 , GateType: 1, Level: 0, Output: true, Number: 61, Fanout: CRC_OUT_9_26, Fanin: WX1316 
GateName: CRC_OUT_9_27 , GateType: 1, Level: 0, Output: true, Number: 62, Fanout: CRC_OUT_9_27, Fanin: WX1318 
GateName: CRC_OUT_9_28 , GateType: 1, Level: 0, Output: true, Number: 63, Fanout: CRC_OUT_9_28, Fanin: WX1320 
GateName: CRC_OUT_9_29 , GateType: 1, Level: 0, Output: true, Number: 64, Fanout: CRC_OUT_9_29, Fanin: WX1322 
GateName: CRC_OUT_9_30 , GateType: 1, Level: 0, Output: true, Number: 65, Fanout: CRC_OUT_9_30, Fanin: WX1324 
GateName: CRC_OUT_9_31 , GateType: 1, Level: 0, Output: true, Number: 66, Fanout: CRC_OUT_9_31, Fanin: WX1326 
GateName: CRC_OUT_8_0 , GateType: 1, Level: 0, Output: true, Number: 67, Fanout: CRC_OUT_8_0, Fanin: WX2557 
GateName: CRC_OUT_8_1 , GateType: 1, Level: 0, Output: true, Number: 68, Fanout: CRC_OUT_8_1, Fanin: WX2559 
GateName: CRC_OUT_8_2 , GateType: 1, Level: 0, Output: true, Number: 69, Fanout: CRC_OUT_8_2, Fanin: WX2561 
GateName: CRC_OUT_8_3 , GateType: 1, Level: 0, Output: true, Number: 70, Fanout: CRC_OUT_8_3, Fanin: WX2563 
GateName: CRC_OUT_8_4 , GateType: 1, Level: 0, Output: true, Number: 71, Fanout: CRC_OUT_8_4, Fanin: WX2565 
GateName: CRC_OUT_8_5 , GateType: 1, Level: 0, Output: true, Number: 72, Fanout: CRC_OUT_8_5, Fanin: WX2567 
GateName: CRC_OUT_8_6 , GateType: 1, Level: 0, Output: true, Number: 73, Fanout: CRC_OUT_8_6, Fanin: WX2569 
GateName: CRC_OUT_8_7 , GateType: 1, Level: 0, Output: true, Number: 74, Fanout: CRC_OUT_8_7, Fanin: WX2571 
GateName: CRC_OUT_8_8 , GateType: 1, Level: 0, Output: true, Number: 75, Fanout: CRC_OUT_8_8, Fanin: WX2573 
GateName: CRC_OUT_8_9 , GateType: 1, Level: 0, Output: true, Number: 76, Fanout: CRC_OUT_8_9, Fanin: WX2575 
GateName: CRC_OUT_8_10 , GateType: 1, Level: 0, Output: true, Number: 77, Fanout: CRC_OUT_8_10, Fanin: WX2577 
GateName: CRC_OUT_8_11 , GateType: 1, Level: 0, Output: true, Number: 78, Fanout: CRC_OUT_8_11, Fanin: WX2579 
GateName: CRC_OUT_8_12 , GateType: 1, Level: 0, Output: true, Number: 79, Fanout: CRC_OUT_8_12, Fanin: WX2581 
GateName: CRC_OUT_8_13 , GateType: 1, Level: 0, Output: true, Number: 80, Fanout: CRC_OUT_8_13, Fanin: WX2583 
GateName: CRC_OUT_8_14 , GateType: 1, Level: 0, Output: true, Number: 81, Fanout: CRC_OUT_8_14, Fanin: WX2585 
GateName: CRC_OUT_8_15 , GateType: 1, Level: 0, Output: true, Number: 82, Fanout: CRC_OUT_8_15, Fanin: WX2587 
GateName: CRC_OUT_8_16 , GateType: 1, Level: 0, Output: true, Number: 83, Fanout: CRC_OUT_8_16, Fanin: WX2589 
GateName: CRC_OUT_8_17 , GateType: 1, Level: 0, Output: true, Number: 84, Fanout: CRC_OUT_8_17, Fanin: WX2591 
GateName: CRC_OUT_8_18 , GateType: 1, Level: 0, Output: true, Number: 85, Fanout: CRC_OUT_8_18, Fanin: WX2593 
GateName: CRC_OUT_8_19 , GateType: 1, Level: 0, Output: true, Number: 86, Fanout: CRC_OUT_8_19, Fanin: WX2595 
GateName: CRC_OUT_8_20 , GateType: 1, Level: 0, Output: true, Number: 87, Fanout: CRC_OUT_8_20, Fanin: WX2597 
GateName: CRC_OUT_8_21 , GateType: 1, Level: 0, Output: true, Number: 88, Fanout: CRC_OUT_8_21, Fanin: WX2599 
GateName: CRC_OUT_8_22 , GateType: 1, Level: 0, Output: true, Number: 89, Fanout: CRC_OUT_8_22, Fanin: WX2601 
GateName: CRC_OUT_8_23 , GateType: 1, Level: 0, Output: true, Number: 90, Fanout: CRC_OUT_8_23, Fanin: WX2603 
GateName: CRC_OUT_8_24 , GateType: 1, Level: 0, Output: true, Number: 91, Fanout: CRC_OUT_8_24, Fanin: WX2605 
GateName: CRC_OUT_8_25 , GateType: 1, Level: 0, Output: true, Number: 92, Fanout: CRC_OUT_8_25, Fanin: WX2607 
GateName: CRC_OUT_8_26 , GateType: 1, Level: 0, Output: true, Number: 93, Fanout: CRC_OUT_8_26, Fanin: WX2609 
GateName: CRC_OUT_8_27 , GateType: 1, Level: 0, Output: true, Number: 94, Fanout: CRC_OUT_8_27, Fanin: WX2611 
GateName: CRC_OUT_8_28 , GateType: 1, Level: 0, Output: true, Number: 95, Fanout: CRC_OUT_8_28, Fanin: WX2613 
GateName: CRC_OUT_8_29 , GateType: 1, Level: 0, Output: true, Number: 96, Fanout: CRC_OUT_8_29, Fanin: WX2615 
GateName: CRC_OUT_8_30 , GateType: 1, Level: 0, Output: true, Number: 97, Fanout: CRC_OUT_8_30, Fanin: WX2617 
GateName: CRC_OUT_8_31 , GateType: 1, Level: 0, Output: true, Number: 98, Fanout: CRC_OUT_8_31, Fanin: WX2619 
GateName: CRC_OUT_7_0 , GateType: 1, Level: 0, Output: true, Number: 99, Fanout: CRC_OUT_7_0, Fanin: WX3850 
GateName: CRC_OUT_7_1 , GateType: 1, Level: 0, Output: true, Number: 100, Fanout: CRC_OUT_7_1, Fanin: WX3852 
GateName: CRC_OUT_7_2 , GateType: 1, Level: 0, Output: true, Number: 101, Fanout: CRC_OUT_7_2, Fanin: WX3854 
GateName: CRC_OUT_7_3 , GateType: 1, Level: 0, Output: true, Number: 102, Fanout: CRC_OUT_7_3, Fanin: WX3856 
GateName: CRC_OUT_7_4 , GateType: 1, Level: 0, Output: true, Number: 103, Fanout: CRC_OUT_7_4, Fanin: WX3858 
GateName: CRC_OUT_7_5 , GateType: 1, Level: 0, Output: true, Number: 104, Fanout: CRC_OUT_7_5, Fanin: WX3860 
GateName: CRC_OUT_7_6 , GateType: 1, Level: 0, Output: true, Number: 105, Fanout: CRC_OUT_7_6, Fanin: WX3862 
GateName: CRC_OUT_7_7 , GateType: 1, Level: 0, Output: true, Number: 106, Fanout: CRC_OUT_7_7, Fanin: WX3864 
GateName: CRC_OUT_7_8 , GateType: 1, Level: 0, Output: true, Number: 107, Fanout: CRC_OUT_7_8, Fanin: WX3866 
GateName: CRC_OUT_7_9 , GateType: 1, Level: 0, Output: true, Number: 108, Fanout: CRC_OUT_7_9, Fanin: WX3868 
GateName: CRC_OUT_7_10 , GateType: 1, Level: 0, Output: true, Number: 109, Fanout: CRC_OUT_7_10, Fanin: WX3870 
GateName: CRC_OUT_7_11 , GateType: 1, Level: 0, Output: true, Number: 110, Fanout: CRC_OUT_7_11, Fanin: WX3872 
GateName: CRC_OUT_7_12 , GateType: 1, Level: 0, Output: true, Number: 111, Fanout: CRC_OUT_7_12, Fanin: WX3874 
GateName: CRC_OUT_7_13 , GateType: 1, Level: 0, Output: true, Number: 112, Fanout: CRC_OUT_7_13, Fanin: WX3876 
GateName: CRC_OUT_7_14 , GateType: 1, Level: 0, Output: true, Number: 113, Fanout: CRC_OUT_7_14, Fanin: WX3878 
GateName: CRC_OUT_7_15 , GateType: 1, Level: 0, Output: true, Number: 114, Fanout: CRC_OUT_7_15, Fanin: WX3880 
GateName: CRC_OUT_7_16 , GateType: 1, Level: 0, Output: true, Number: 115, Fanout: CRC_OUT_7_16, Fanin: WX3882 
GateName: CRC_OUT_7_17 , GateType: 1, Level: 0, Output: true, Number: 116, Fanout: CRC_OUT_7_17, Fanin: WX3884 
GateName: CRC_OUT_7_18 , GateType: 1, Level: 0, Output: true, Number: 117, Fanout: CRC_OUT_7_18, Fanin: WX3886 
GateName: CRC_OUT_7_19 , GateType: 1, Level: 0, Output: true, Number: 118, Fanout: CRC_OUT_7_19, Fanin: WX3888 
GateName: CRC_OUT_7_20 , GateType: 1, Level: 0, Output: true, Number: 119, Fanout: CRC_OUT_7_20, Fanin: WX3890 
GateName: CRC_OUT_7_21 , GateType: 1, Level: 0, Output: true, Number: 120, Fanout: CRC_OUT_7_21, Fanin: WX3892 
GateName: CRC_OUT_7_22 , GateType: 1, Level: 0, Output: true, Number: 121, Fanout: CRC_OUT_7_22, Fanin: WX3894 
GateName: CRC_OUT_7_23 , GateType: 1, Level: 0, Output: true, Number: 122, Fanout: CRC_OUT_7_23, Fanin: WX3896 
GateName: CRC_OUT_7_24 , GateType: 1, Level: 0, Output: true, Number: 123, Fanout: CRC_OUT_7_24, Fanin: WX3898 
GateName: CRC_OUT_7_25 , GateType: 1, Level: 0, Output: true, Number: 124, Fanout: CRC_OUT_7_25, Fanin: WX3900 
GateName: CRC_OUT_7_26 , GateType: 1, Level: 0, Output: true, Number: 125, Fanout: CRC_OUT_7_26, Fanin: WX3902 
GateName: CRC_OUT_7_27 , GateType: 1, Level: 0, Output: true, Number: 126, Fanout: CRC_OUT_7_27, Fanin: WX3904 
GateName: CRC_OUT_7_28 , GateType: 1, Level: 0, Output: true, Number: 127, Fanout: CRC_OUT_7_28, Fanin: WX3906 
GateName: CRC_OUT_7_29 , GateType: 1, Level: 0, Output: true, Number: 128, Fanout: CRC_OUT_7_29, Fanin: WX3908 
GateName: CRC_OUT_7_30 , GateType: 1, Level: 0, Output: true, Number: 129, Fanout: CRC_OUT_7_30, Fanin: WX3910 
GateName: CRC_OUT_7_31 , GateType: 1, Level: 0, Output: true, Number: 130, Fanout: CRC_OUT_7_31, Fanin: WX3912 
GateName: CRC_OUT_6_0 , GateType: 1, Level: 0, Output: true, Number: 131, Fanout: CRC_OUT_6_0, Fanin: WX5143 
GateName: CRC_OUT_6_1 , GateType: 1, Level: 0, Output: true, Number: 132, Fanout: CRC_OUT_6_1, Fanin: WX5145 
GateName: CRC_OUT_6_2 , GateType: 1, Level: 0, Output: true, Number: 133, Fanout: CRC_OUT_6_2, Fanin: WX5147 
GateName: CRC_OUT_6_3 , GateType: 1, Level: 0, Output: true, Number: 134, Fanout: CRC_OUT_6_3, Fanin: WX5149 
GateName: CRC_OUT_6_4 , GateType: 1, Level: 0, Output: true, Number: 135, Fanout: CRC_OUT_6_4, Fanin: WX5151 
GateName: CRC_OUT_6_5 , GateType: 1, Level: 0, Output: true, Number: 136, Fanout: CRC_OUT_6_5, Fanin: WX5153 
GateName: CRC_OUT_6_6 , GateType: 1, Level: 0, Output: true, Number: 137, Fanout: CRC_OUT_6_6, Fanin: WX5155 
GateName: CRC_OUT_6_7 , GateType: 1, Level: 0, Output: true, Number: 138, Fanout: CRC_OUT_6_7, Fanin: WX5157 
GateName: CRC_OUT_6_8 , GateType: 1, Level: 0, Output: true, Number: 139, Fanout: CRC_OUT_6_8, Fanin: WX5159 
GateName: CRC_OUT_6_9 , GateType: 1, Level: 0, Output: true, Number: 140, Fanout: CRC_OUT_6_9, Fanin: WX5161 
GateName: CRC_OUT_6_10 , GateType: 1, Level: 0, Output: true, Number: 141, Fanout: CRC_OUT_6_10, Fanin: WX5163 
GateName: CRC_OUT_6_11 , GateType: 1, Level: 0, Output: true, Number: 142, Fanout: CRC_OUT_6_11, Fanin: WX5165 
GateName: CRC_OUT_6_12 , GateType: 1, Level: 0, Output: true, Number: 143, Fanout: CRC_OUT_6_12, Fanin: WX5167 
GateName: CRC_OUT_6_13 , GateType: 1, Level: 0, Output: true, Number: 144, Fanout: CRC_OUT_6_13, Fanin: WX5169 
GateName: CRC_OUT_6_14 , GateType: 1, Level: 0, Output: true, Number: 145, Fanout: CRC_OUT_6_14, Fanin: WX5171 
GateName: CRC_OUT_6_15 , GateType: 1, Level: 0, Output: true, Number: 146, Fanout: CRC_OUT_6_15, Fanin: WX5173 
GateName: CRC_OUT_6_16 , GateType: 1, Level: 0, Output: true, Number: 147, Fanout: CRC_OUT_6_16, Fanin: WX5175 
GateName: CRC_OUT_6_17 , GateType: 1, Level: 0, Output: true, Number: 148, Fanout: CRC_OUT_6_17, Fanin: WX5177 
GateName: CRC_OUT_6_18 , GateType: 1, Level: 0, Output: true, Number: 149, Fanout: CRC_OUT_6_18, Fanin: WX5179 
GateName: CRC_OUT_6_19 , GateType: 1, Level: 0, Output: true, Number: 150, Fanout: CRC_OUT_6_19, Fanin: WX5181 
GateName: CRC_OUT_6_20 , GateType: 1, Level: 0, Output: true, Number: 151, Fanout: CRC_OUT_6_20, Fanin: WX5183 
GateName: CRC_OUT_6_21 , GateType: 1, Level: 0, Output: true, Number: 152, Fanout: CRC_OUT_6_21, Fanin: WX5185 
GateName: CRC_OUT_6_22 , GateType: 1, Level: 0, Output: true, Number: 153, Fanout: CRC_OUT_6_22, Fanin: WX5187 
GateName: CRC_OUT_6_23 , GateType: 1, Level: 0, Output: true, Number: 154, Fanout: CRC_OUT_6_23, Fanin: WX5189 
GateName: CRC_OUT_6_24 , GateType: 1, Level: 0, Output: true, Number: 155, Fanout: CRC_OUT_6_24, Fanin: WX5191 
GateName: CRC_OUT_6_25 , GateType: 1, Level: 0, Output: true, Number: 156, Fanout: CRC_OUT_6_25, Fanin: WX5193 
GateName: CRC_OUT_6_26 , GateType: 1, Level: 0, Output: true, Number: 157, Fanout: CRC_OUT_6_26, Fanin: WX5195 
GateName: CRC_OUT_6_27 , GateType: 1, Level: 0, Output: true, Number: 158, Fanout: CRC_OUT_6_27, Fanin: WX5197 
GateName: CRC_OUT_6_28 , GateType: 1, Level: 0, Output: true, Number: 159, Fanout: CRC_OUT_6_28, Fanin: WX5199 
GateName: CRC_OUT_6_29 , GateType: 1, Level: 0, Output: true, Number: 160, Fanout: CRC_OUT_6_29, Fanin: WX5201 
GateName: CRC_OUT_6_30 , GateType: 1, Level: 0, Output: true, Number: 161, Fanout: CRC_OUT_6_30, Fanin: WX5203 
GateName: CRC_OUT_6_31 , GateType: 1, Level: 0, Output: true, Number: 162, Fanout: CRC_OUT_6_31, Fanin: WX5205 
GateName: CRC_OUT_5_0 , GateType: 1, Level: 0, Output: true, Number: 163, Fanout: CRC_OUT_5_0, Fanin: WX6436 
GateName: CRC_OUT_5_1 , GateType: 1, Level: 0, Output: true, Number: 164, Fanout: CRC_OUT_5_1, Fanin: WX6438 
GateName: CRC_OUT_5_2 , GateType: 1, Level: 0, Output: true, Number: 165, Fanout: CRC_OUT_5_2, Fanin: WX6440 
GateName: CRC_OUT_5_3 , GateType: 1, Level: 0, Output: true, Number: 166, Fanout: CRC_OUT_5_3, Fanin: WX6442 
GateName: CRC_OUT_5_4 , GateType: 1, Level: 0, Output: true, Number: 167, Fanout: CRC_OUT_5_4, Fanin: WX6444 
GateName: CRC_OUT_5_5 , GateType: 1, Level: 0, Output: true, Number: 168, Fanout: CRC_OUT_5_5, Fanin: WX6446 
GateName: CRC_OUT_5_6 , GateType: 1, Level: 0, Output: true, Number: 169, Fanout: CRC_OUT_5_6, Fanin: WX6448 
GateName: CRC_OUT_5_7 , GateType: 1, Level: 0, Output: true, Number: 170, Fanout: CRC_OUT_5_7, Fanin: WX6450 
GateName: CRC_OUT_5_8 , GateType: 1, Level: 0, Output: true, Number: 171, Fanout: CRC_OUT_5_8, Fanin: WX6452 
GateName: CRC_OUT_5_9 , GateType: 1, Level: 0, Output: true, Number: 172, Fanout: CRC_OUT_5_9, Fanin: WX6454 
GateName: CRC_OUT_5_10 , GateType: 1, Level: 0, Output: true, Number: 173, Fanout: CRC_OUT_5_10, Fanin: WX6456 
GateName: CRC_OUT_5_11 , GateType: 1, Level: 0, Output: true, Number: 174, Fanout: CRC_OUT_5_11, Fanin: WX6458 
GateName: CRC_OUT_5_12 , GateType: 1, Level: 0, Output: true, Number: 175, Fanout: CRC_OUT_5_12, Fanin: WX6460 
GateName: CRC_OUT_5_13 , GateType: 1, Level: 0, Output: true, Number: 176, Fanout: CRC_OUT_5_13, Fanin: WX6462 
GateName: CRC_OUT_5_14 , GateType: 1, Level: 0, Output: true, Number: 177, Fanout: CRC_OUT_5_14, Fanin: WX6464 
GateName: CRC_OUT_5_15 , GateType: 1, Level: 0, Output: true, Number: 178, Fanout: CRC_OUT_5_15, Fanin: WX6466 
GateName: CRC_OUT_5_16 , GateType: 1, Level: 0, Output: true, Number: 179, Fanout: CRC_OUT_5_16, Fanin: WX6468 
GateName: CRC_OUT_5_17 , GateType: 1, Level: 0, Output: true, Number: 180, Fanout: CRC_OUT_5_17, Fanin: WX6470 
GateName: CRC_OUT_5_18 , GateType: 1, Level: 0, Output: true, Number: 181, Fanout: CRC_OUT_5_18, Fanin: WX6472 
GateName: CRC_OUT_5_19 , GateType: 1, Level: 0, Output: true, Number: 182, Fanout: CRC_OUT_5_19, Fanin: WX6474 
GateName: CRC_OUT_5_20 , GateType: 1, Level: 0, Output: true, Number: 183, Fanout: CRC_OUT_5_20, Fanin: WX6476 
GateName: CRC_OUT_5_21 , GateType: 1, Level: 0, Output: true, Number: 184, Fanout: CRC_OUT_5_21, Fanin: WX6478 
GateName: CRC_OUT_5_22 , GateType: 1, Level: 0, Output: true, Number: 185, Fanout: CRC_OUT_5_22, Fanin: WX6480 
GateName: CRC_OUT_5_23 , GateType: 1, Level: 0, Output: true, Number: 186, Fanout: CRC_OUT_5_23, Fanin: WX6482 
GateName: CRC_OUT_5_24 , GateType: 1, Level: 0, Output: true, Number: 187, Fanout: CRC_OUT_5_24, Fanin: WX6484 
GateName: CRC_OUT_5_25 , GateType: 1, Level: 0, Output: true, Number: 188, Fanout: CRC_OUT_5_25, Fanin: WX6486 
GateName: CRC_OUT_5_26 , GateType: 1, Level: 0, Output: true, Number: 189, Fanout: CRC_OUT_5_26, Fanin: WX6488 
GateName: CRC_OUT_5_27 , GateType: 1, Level: 0, Output: true, Number: 190, Fanout: CRC_OUT_5_27, Fanin: WX6490 
GateName: CRC_OUT_5_28 , GateType: 1, Level: 0, Output: true, Number: 191, Fanout: CRC_OUT_5_28, Fanin: WX6492 
GateName: CRC_OUT_5_29 , GateType: 1, Level: 0, Output: true, Number: 192, Fanout: CRC_OUT_5_29, Fanin: WX6494 
GateName: CRC_OUT_5_30 , GateType: 1, Level: 0, Output: true, Number: 193, Fanout: CRC_OUT_5_30, Fanin: WX6496 
GateName: CRC_OUT_5_31 , GateType: 1, Level: 0, Output: true, Number: 194, Fanout: CRC_OUT_5_31, Fanin: WX6498 
GateName: CRC_OUT_4_0 , GateType: 1, Level: 0, Output: true, Number: 195, Fanout: CRC_OUT_4_0, Fanin: WX7729 
GateName: CRC_OUT_4_1 , GateType: 1, Level: 0, Output: true, Number: 196, Fanout: CRC_OUT_4_1, Fanin: WX7731 
GateName: CRC_OUT_4_2 , GateType: 1, Level: 0, Output: true, Number: 197, Fanout: CRC_OUT_4_2, Fanin: WX7733 
GateName: CRC_OUT_4_3 , GateType: 1, Level: 0, Output: true, Number: 198, Fanout: CRC_OUT_4_3, Fanin: WX7735 
GateName: CRC_OUT_4_4 , GateType: 1, Level: 0, Output: true, Number: 199, Fanout: CRC_OUT_4_4, Fanin: WX7737 
GateName: CRC_OUT_4_5 , GateType: 1, Level: 0, Output: true, Number: 200, Fanout: CRC_OUT_4_5, Fanin: WX7739 
GateName: CRC_OUT_4_6 , GateType: 1, Level: 0, Output: true, Number: 201, Fanout: CRC_OUT_4_6, Fanin: WX7741 
GateName: CRC_OUT_4_7 , GateType: 1, Level: 0, Output: true, Number: 202, Fanout: CRC_OUT_4_7, Fanin: WX7743 
GateName: CRC_OUT_4_8 , GateType: 1, Level: 0, Output: true, Number: 203, Fanout: CRC_OUT_4_8, Fanin: WX7745 
GateName: CRC_OUT_4_9 , GateType: 1, Level: 0, Output: true, Number: 204, Fanout: CRC_OUT_4_9, Fanin: WX7747 
GateName: CRC_OUT_4_10 , GateType: 1, Level: 0, Output: true, Number: 205, Fanout: CRC_OUT_4_10, Fanin: WX7749 
GateName: CRC_OUT_4_11 , GateType: 1, Level: 0, Output: true, Number: 206, Fanout: CRC_OUT_4_11, Fanin: WX7751 
